recipe_id,title,description,recipe_url,image_url,ingredients_list,directions,# Interactions,average_rating,number_of_ratings,tags
172589,Chopped Italian Salad,"This is a great salad with antipasta ingredients. Feel free to add your favorite Italian antipasta ingredients. The options are endless, but the result is fabulous!",https://www.food.com/recipe/chopped-italian-salad-172589,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/17/25/89/pickJpwFK.jpg","head romaine lettuce, cut into 1-inch squares | salami or 1/4 lb prosciutto, chopped | drained sliced pimiento (one 4-ounce jar) | chopped red onion | drained rinsed, and chopped canned artichoke hearts (one 15-ounce can) | red wine vinegar or 3 tablespoons $template2$ | olive oil | salt | fresh ground black pepper | grated parmesan cheese | chopped pepperoncini pepper (optional) | provolone cheese (optional) | of thin-sliced basil leaves (optional)","Ln a large salad bowl, combine first 5 ingredients along with any optional ingredients. Toss to combine. | Add vinegar, oil, salt, pepper, and Parmesan to the bowl. | Toss thoroughly to combine the ingredients.",29,"4,89",28,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | lunch | salads | vegetables | easy | european | italian | dietary | low-calorie | low-carb | low-in-something | meat | 3-steps-or-less
60402,Linguine with Clam Sauce,"quick easy, and CHEAP! Dinner for 6 for about $5.00.",https://www.food.com/recipe/linguine-with-clam-sauce-60402,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/60/40/2/picBO6MXP.jpg","olive oil | medium onion, chopped | cloves garlic, minced | chopped clams (drained, reserve liquid) | dried parsley | oregano | dried basil | red pepper flakes | pinch salt | pinch pepper | cooked linguine","Heat oil in skillet over menium heat. | Add onion and chopped garlic and cook till the onion is tender. | Add clam juice to skillet and add all the seasonings. | Simmer over low for 5 minutes. | When pasta is ready, add clams, and remove from heat. | Pour sauce over drained pasta, toss together.",29,"4,64",28,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | pasta | european | italian | dietary | one-dish-meal | comfort-food | inexpensive | pasta-rice-and-grains | taste-mood
102349,Garlic Feta Cheese Spread,"This is great on bagles, crackers, or stuffed in celery.",https://www.food.com/recipe/garlic-feta-cheese-spread-102349,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/10/23/49/picoj5qpi.jpg","feta cheese | cream cheese | mayonnaise | cloves garlic, minced | basil | oregano | dill weed | thyme",Combine together in food processor or by hand. | Cover and chill for 30 minutes.,29,"4,89",29,60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | appetizers | eggs-dairy | greek | easy | european | beginner-cook | vegetarian | spreads | cheese | dietary | high-calcium | low-carb | inexpensive | high-in-something | low-in-something | 3-steps-or-less
16624,Beef Souvlaki,This a quick and easy recipe for Greek Souvlaki.,https://www.food.com/recipe/beef-souvlaki-16624,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/16/62/4/picB0kIC8.jpg",sirloin tip steaks or 1 lb round steak | dried oregano | minced garlic | ground black pepper | oil | lemon juice | plain yogurt | dried dill | red wine vinegar | minced garlic,"Combine spices and oil and press into meat on both sides. | Cut meat into 1 inch cubes and toss with lemon juice and let stand for 5 minutes. | Thread on skewers. | Broil or grill for about 5 minutes, turnning once. | Do not overcook. | Combine sauce ingredients and serve with Souvlaki.",29,"4,85",29,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | very-low-carbs | main-dish | beef | greek | oven | barbecue | european | broil | dietary | low-sodium | high-protein | low-carb | high-in-something | low-in-something | meat | equipment | grilling
223483,The Ultimate French Bread,"Headline:   BREAD MACHINE RESCUES MEAL FROM BOREDOM!  Never again will you purchase French bread from the store.  Impress your friends and neighbors with a warm loaf, laugh delightedly when the compliments start rolling in.   COOKING TIME includes rising time, too.",https://www.food.com/recipe/the-ultimate-french-bread-223483,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/22/34/83/01490152033.jpeg","warm water | sugar | salt | bread flour | yeast | water | salt | egg | water, beaten | egg | milk, beaten","Add to bread machine according to owner's manual (my machine does liquids first); program for DOUGH or MANUAL. | At the end of the cycle, place on lightly floured surface, rolling into a large rectangle; start at the longest end and roll up tightly, pressing seams and tapering each end, tucking under. | Place loaf on a greased baking sheet or stone; cover and let rise for one hour until doubled. | Near end of rising time, preheat oven to 400 degrees. | Mix glaze ingredients in a small bowl; brush over loaf generously; snip three diagonal slashes over the top (optional). | Bake for 20-25 minutes, top will be golden brown. | VARIATIONS: After rolling dough into a rectangle, (1) sprinkle with grated cheese [cheddar is delicious], or (2) generously brush with melted butter & sprinkle some aromatic herbs, or (3) spoon leftover marinara sauce close to the edges, -- then roll up tightly and pinch edges; continue as described in Step #3. | VARIATION #2: Mince one small onion (about 1/4 cup) and add to wet ingredients. | CREATIVE SUGGESTION: Shape into a round loaf instead of the usual long loaf. | BABY FRENCH BREAD LOAFLETS: Divide dough ball into 12 balls, tapering to make mini-loaves; bake 15-20 minutes--watch carefully! | FRENCH TWIST: Divide dough into 3 pieces, rolled into 14-16"" ropes. Lay them on pan and braid in usual fashion, tuck ends under, stretch out a bit if need be; brush with 2 T. melted butter; cover & rise for about 30 minutes; brush with glaze, bake 20-25 minutes--watch carefully.",29,"4,96",29,time-to-make | course | main-ingredient | cuisine | preparation | occasion | north-american | healthy | breads | american | french | easy | european | potluck | kid-friendly | low-fat | vegetarian | grains | dietary | low-saturated-fat | comfort-food | midwestern | inexpensive | yeast | low-in-something | pasta-rice-and-grains | taste-mood | to-go | 4-hours-or-less
152433,Spaghetti Bolognese Sauce (Beef and Italian Sausage),"I've been working on this recipe for years--tweaking and fussing, and I believe it is about ready.  My family and friends love it.  I also use it as meat sauce filling for lasagna.",https://www.food.com/recipe/spaghetti-bolognese-sauce-beef-and-italian-sausage-152433,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/15/24/33/drsBIzVKSwOeF24ipCOj_20200628_192835.jpg",ground beef | link Italian sausage | tomato sauce | tomato paste | diced tomatoes (drained) | onions (diced) | bell pepper (diced) | mushroom (sliced) | red wine | garlic cloves (minced) | olive oil | sugar | basil | black pepper | marjoram (dried) | thyme | salt | paprika | mozzarella cheese (grated) | parmesan cheese (grated) | cornstarch | water,"Brown ground beef, season to taste with salt and pepper, drain and set aside. | Cut link sausage up into meatball size pieces, brown, drain, and set aside. I use Thomasville Hot. If making sauce for lasagna, remove sausage from casings and brown with the ground beef. | Sauté garlic, onion, and bell pepper in olive oil, just until the onions are translucent. | Add meat, tomato sauce, tomato paste, diced tomatoes, herbs and spices, mushrooms, sugar, and wine. I use fresh mushrooms, and a red burgandy for a deeper earthy flavor. Omit mushrooms if making sauce for lasagna. | Simmer on medium low for at least one hour, stirring occasionally. | When ready to serve, mix corn starch with water and add to sauce, along with both cheeses to thicken. | When cheese is incorporated, and sauce has thickened, serve over your choice of pasta or use as a meat filling for lasagna.",29,"4,78",29,time-to-make | course | cuisine | preparation | sauces | condiments-etc | european | italian | dietary | low-carb | low-in-something | 4-hours-or-less
71871,"Ravioli with Prosciutto, Roma Tomato and Sage","A few weeks ago there was a post on the message boards asking ""Of all of your creations, what recipe are you the most proud of?"" I want to change my answer to this one!! I had a moment of brillance last night when I started dinner and this recipe is the end result. I really enjoyed eating this and felt like I had created a very simple but extremely tasty dinner. I hope whomever decides to try it enjoys it as much as we did!!",https://www.food.com/recipe/ravioli-with-prosciutto-roma-tomato-and-sage-71871,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/71/87/1/picSoSmQN.jpg","meat ravioli or 2 lbs cheese ravioli, fresh or frozen (I use meat) | butter | prosciutto, chopped fine | fresh sage (do not use dried!) | roma tomatoes, diced | fresh ground black pepper (or to taste) | heavy cream | freshly grated romano cheese","Put a pot of salted water on to boil. | Melt butter in a large skillet over medium to medium/high heat. | Add prosciutto and let cook for 5 minutes. | Add chopped roma tomatoes and cook for 4 more minutes. | Add chopped sage and pepper. | Add your ravioli to the boiling water. | Add heavy cream to your tomato/prosciutto mixture and stir well. | Bring just to a boil and lower heat to a high simmer. | As ravioli begin to float, scoop them out of the pot and add to the skillet with the sauce mix. | Add cheese and gently toss to coat. | Serve with a green salad and garlic breadsticks.",29,"4,89",29,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | eggs-dairy | pasta | vegetables | easy | european | beginner-cook | dinner-party | romantic | italian | cheese | stove-top | one-dish-meal | inexpensive | pasta-rice-and-grains | ravioli-tortellini | tomatoes | brunch | taste-mood | savory | equipment | presentation | served-hot
321734,Pan-Fried Fish Almondine,"This is a simple and versatile recipe. It lends well to any type of white fish, such as: perch, tilapia, whitefish, halibut, etc. It might even work well with salmon, but I haven't tried that yet. I love the crusty, delicious almond coating. If you can't find Panko breadcrumbs, you could try regular bread crumbs. I like to serve this alongside wild rice and a nice salad for a simple and pretty healthy meal.",https://www.food.com/recipe/pan-fried-fish-almondine-321734,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/32/17/34/piculsQqX.jpg","fish fillets | salt and pepper, to taste | large eggs | water | flour | butter | parsley, chopped (optional) | panko breadcrumbs | lemon, zest of, finely grated | almonds, sliced","First make the almondine breading by placing Panko breadcrumbs, lemon zest, and sliced almonds into a food processor. | Pulse until it reaches a fine consistency. *The breading adheres to the fish better this way.*. | If applicable, debone the fish and remove the skin. | Salt and pepper the fish, to taste. | In a small bowl, mix eggs and water together to make an egg wash. | Place flour in a shallow pan. | Place the almondine breading in another shallow pan. | Dredge each fish fillet through the flour, dusting off any excess, dip in egg wash; place in breading, coating both sides of fish. If you aren't going to fry these right away, store them in the refrigerator at this point. | Preheat saute pan using medium heat. | Add the butter and melt, being careful not to burn. | Place fish in hot butter and cook on each side until golden brown, about 3 minutes on each side, which is an average time. Depending on how thick your fish is, you may need to either shorten or lengthen the time. | Optional: Sprinkle chopped parsley on top of the fish before serving.",29,"4,9",30,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | north-american | main-dish | seafood | american | french | easy | european | beginner-cook | dinner-party | romantic | fish | stove-top | taste-mood | equipment | presentation | served-hot
60108,Greek Pita Bread,"This recipe for Greek pita bread can be used for 'souvlaki' and 'gyros' sandwiches, Found on a greek website. 2 hours includes rising time",https://www.food.com/recipe/greek-pita-bread-60108,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/60/10/8/pictilBl4.jpg",dry yeast | salt | sugar | all-purpose white flour | water | olive oil,"Combine the yeast and sugar in a small bowl, add 1/2 cup of the warm water and let it stand for 10 minutes to proof and ferment it. | Dissolve the salt in the remaining warm water. | Put the flour in a large mixing bowl, making a well in the middle and put the dissolved yeast and salt water into it. | With your hands, blend it into a dough. | You may need a bit more or less water depending on your flour. | Knead the dough in the bowl with your fists for 10-15 minutes or until it is smooth. | Pour the oil over the dough and knead it again until the oil is absorbed. | Cover the dough in the bowl with a towel and set it in a draft free area to rise to double it's bulk (1-2 hours), then punch it down and knead it again for a few minutes. | Preheat your oven to 350°F. | Cut pieces of dough, egg size or larger, depending on the size of the pita desired, shape them into balls with your hands and roll them out over a lightly floured board or pastry cloth to 1/4 inch thickness. | Set 2 or 3 pites on a lightly oiled cookies sheet and bake them on the lower rack 2 to 3 minutes each side. | Pitas should be white and soft. | Wrap the baked pitas in a clean towel until they are cool, then store them in plastic bags to prevent them from drying out. | When you are ready to use them, heat a bit of oil in a shallow skillet and fry them a minute or so on each side, or until golden brown. | Use them immediately, because they get hard when they dry out.",29,"4,72",28,weeknight | time-to-make | course | cuisine | preparation | occasion | healthy | flat-shapes | breads | greek | european | low-fat | dietary | low-cholesterol | low-saturated-fat | yeast | low-in-something | 4-hours-or-less
121848,Tilapia Meunier,"A classic meunier is simply a mild white fish seasoned and lightly dredged in flour, sauteed in butter and garnished with chopped parsley. In this recipe, the addition of lemon brightens the flavor. A handful of toasted stale breadcrumbs can be added to the lemon-butter mixture to create a slightly more substantial sauce with a note of toasty flavor.",https://www.food.com/recipe/tilapia-meunier-121848,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/12/18/48/picR2lXfK.jpg","tilapia fillets | salt | fresh parsley, minced | butter, 4-oz (1 stick) | flour | pepper | lemon juice | dried thyme | olive oil | lemon, peeled and cut into segments | capers (optional)","Rinse fillets and pat dry. In small bowl combine flour, salt, pepper and thyme. Pour the dry mixture out onto a plate and dredge each fillet, lightly covering all surfaces; set aside. Cut stick butter into 1 oz. pats; set aside. | Heat 1/3 of oil in large skillet over medium-high heat. Place 2 fillets (or more, just don't crowd skillet surface) in skillet and saute for several minutes on each side. Remove fillets from skillet, place on plate, and sprinkle with 1/3 parsley. Set in your oven as the remaining heat of fillet will crisp the fresh parsley. Repeat until all fillets are cooked. | Pour off the oil and wipe skillet dry. Return skillet to heat and begin melting butter, 1 oz at a time until bubbling hot, but not brown. Quickly add the lemon juice and slices (capers if using); stir gently in the skillet until combined and warm. Pour over fillets and serve.",29,"4,69",30,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | main-dish | seafood | easy | european | fish | dietary | low-carb | low-in-something | saltwater-fish | tilapia | 3-steps-or-less
170506,Scandinavian Cucumbers,My mom used to make this in the summertime with cucumbers fresh from her garden. It became a family favorite. I use my mandoline to slice the veggies very thin. I hope you enjoy this cool summertime salad as much as we do! Cooking time is chilling time.,https://www.food.com/recipe/scandinavian-cucumbers-170506,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/17/05/06/UN6iy20ORUy6GK1A0LEB_20210724_142010.jpg","sour cream | snipped fresh parsley | tarragon vinegar | sugar | pinch dill weed | small cucumbers, sliced thin (English are best) | small sweet onion, sliced thin","Combine sour cream, parsley, vinegar, sugar and dill weed. | Gently add the onion and cucumber slices. | Cover and chill. | Best if served the same day.",29,"4,86",29,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | salads | side-dishes | vegetables | scandinavian | easy | european | beginner-cook
137211,Danish Blue Cheese Salad,This recipe is from Scandinavian Feasts by Beatrice Ojakangas.  Everyone in my family loves it.,https://www.food.com/recipe/danish-blue-cheese-salad-137211,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/72/11/picZSBbdt.jpg","quart lettuce leaf (small new tender garden lettuce, or butter lettuce) | bunch radish, cleaned and thinly sliced (small baby sized radishes) | cucumber, sliced paper-thin (about 2-inch section of cucumber) | sweet onion, thinly sliced | danish blue cheese, crumbled | pinch salt | pinch pepper | pinch dry mustard | pinch sugar | white wine vinegar | vegetable oil","Wash and dry the lettuce and place in a serving bowl. | Add radishes, cucumber, and onion. Sprinkle with the blue cheese. | In a small bowl, mix together the salt, pepper, mustard, sugar, and vinegar. Whisk in the salad oil. | Just before serving, stir the dressing again, and pour over the salad.",29,"4,66",29,danish | 30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | salads | vegetables | scandinavian | easy | european | no-cook | beginner-cook | dinner-party | spring | vegetarian | dietary | seasonal | greens | lettuces | onions | brunch | technique
304615,Belgian Carrots,"Here's an interesting carrot recipe -- If you can, try making it a day ahead of time & give the flavor time to develop! They do reheat well!",https://www.food.com/recipe/belgian-carrots-304615,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/30/46/15/0JN9bWgRKK7ZdPvjVgy3-photo-1-2-.JPG","carrots, sliced crosswise into 1/4-inch pieces | heavy cream | unsalted butter | granulated sugar | dried parsley | nutmeg, grated | salt | ground black pepper","In a medium saucepan, cover carrots with 1 inch of water & bring to a simmer for 10-12 minutes, until carrots are tender. | Drain water from pan & toss carrots with remaining ingredients. | Over low heat, stir carrots until sauce is heated through & serve.",29,"4,79",29,30-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | low-protein | side-dishes | eggs-dairy | vegetables | french | easy | european | belgian | dietary | low-calorie | low-carb | low-in-something | carrots | 3-steps-or-less
99870,Vegetable-Beef Barley Soup (Crock Pot),This has been a favorite in our home for many years. Great on those cold winter days. Serve with fresh homemade rolls for a complete meal.,https://www.food.com/recipe/vegetable-beef-barley-soup-crock-pot-99870,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/99/87/0/picSVpeOy.jpg","beef | bell pepper, chopped | package frozen mixed vegetables (I use a gumbo blend.) | chopped onion | uncooked barley | water | salt | dried thyme leaves | pepper | garlic powder | beef bouillon | diced tomatoes | tomato sauce",Rinse the frozen vegetables under cold running water to separate and partially thaw before adding to soup. | Mix all ingredients in 3 1/2- to 6-quart crock pot. | Cover and cook on low heat setting 8 hours or until vegetables and barley are tender.,29,"4,79",29,time-to-make | course | main-ingredient | cuisine | preparation | north-american | soups-stews | beef | canadian | easy | european | diabetic | crock-pot-slow-cooker | dietary | low-sodium | low-cholesterol | low-calorie | low-carb | healthy-2 | low-in-something | meat | pasta-rice-and-grains | equipment | 3-steps-or-less
117472,Hearty Split  Pea Soup!,"The onions, carrots, celery, potatoes and garlic are sauteed first to enliven the sugars in them. This comfort soup gets a wonderful smokey flavor from your choice of ham bone or shank or smoked turkey wings. It's swirled with sherry. Topped with bacon bits and croutons.",https://www.food.com/recipe/hearty-split-pea-soup-117472,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/11/74/72/picxajG9m.jpg","olive oil | onion, diced | celery rib, sliiced | medium potatoes, diced | carrots, diced | garlic cloves, minced | oregano | pepper | bay leaf | 2 smoked pork shanks or 2 smoked turkey wings | package dried split peas | salt & pepper | hot sauce (optional) | sherry wine | garlic herbed croutons | crumbled cooked bacon","In a large pot heat oil add onions, celery, carrots, potatoes and carrot saute for 5 minutes add garlic, oregano, bay leaf, salt, pepper & ham bone stir 1 minute. Add peas and cover with enough water to completely submerge all ingredients by a couple inches. | Bring to a boil. Reduce heat and simmer for about 3-4 hours, until thickened be sure to stir throughout the cooking. The longer you cook it the thicker it gets. | Go ahead a sneak a taste. | Season with hot pepper sauce and black pepper Drizzle with sherry. | Optional I prefer-Blend all but meat in a blender to smooth out. | Garnish with croutons and bacon bits.",28,"4,96",27,time-to-make | course | main-ingredient | cuisine | preparation | occasion | north-american | bisques-cream-soups | soups-stews | pork | poultry | vegetables | european | holiday-event | easter | turkey | food-processor-blender | stove-top | seasonal | comfort-food | meat | taste-mood | equipment | small-appliance | presentation | served-hot | 4-hours-or-less
69639,Low Fat Red Pepper Hummus,"This recipe is inspired by the many hummus recipes I have seen, but had added oil & were lacking the flavor I was seeking. It's classified as Greek for the actual Hummus part, and Indian for the coriander/cumin/cayenne combo, which is common in Indian food, and gives this dip an interesting twist. Tahini is sesame (seed) butter, and the best thing to use for the right flavor, but use peanut butter instead if you have to.",https://www.food.com/recipe/low-fat-red-pepper-hummus-69639,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/69/63/9/01463165129.jpeg",chickpeas | tahini | lemon juice | cloves garlic (pressed or crushed) | roasted red pepper | cumin | coriander | cayenne | salt | fresh ground pepper,"Drain& rinse chick peas/garbanzos, reserving liquid. | In small bowl, combine cumin, coriander, cayenne (use less if you don't want it very spicy, but we like it with 1/2 tsp),& salt, mixing throughly. | Put garbanzo beans/chick peas in bowl of food processor with chopping blade,& sprinkle the spice mixture over the top evenly. | Add the tahini, lemon juice, garlic,& roasted red peppers, and blend until well mixed. | Add the fresh ground pepper. | Once the hummus gets smooth, add some of the reserved liquid from the chick peas/garbanzos while it is being processed, until it reaches the desired consistency. | Serve with toasted pita bread or as a dip or spread with almost anything. | Have fun with this basic recipe- you can change the amounts or even the actual spices used to change the flavor of this healthy dip. | Please share your discoveries!",28,"4,85",27,15-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | healthy | appetizers | beans | asian | greek | indian | european | vegetarian | dips | spreads | food-processor-blender | dietary | low-cholesterol | low-saturated-fat | chick-peas-garbanzos | low-in-something | equipment | small-appliance
149088,"Awesome Lasagna (No-Boil, Easy)","This is a really good basic lasagna recipe. It's based on one I found somewhere, but I've tweaked it quite a bit to suit my own tastes. I like it as written with italian sausage, but you can substitute ground beef if you must.",https://www.food.com/recipe/awesome-lasagna-no-boil-easy-149088,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/14/90/88/01487647077.jpeg","Italian sausage, casings removed (I use spicy) | jar spaghetti sauce, of your choice | diced tomatoes | water | garlic clove, chopped | italian seasoning | ricotta cheese (about 3/4 small container) | grated mozzarella cheese | grated parmesan cheese | eggs | parsley | ground black pepper | package lasagna noodles, uncooked","Heat oven to 350. | In large pan, brown italian sausage; drain. | Add spaghetti sauce, diced tomatoes, water, garlic and italian seasoning. Cover and simmer for 10-15 minutes. | In medium bowl, combine ricotta, 2 cups of the mozzarella, parmesan, eggs, parsley and pepper. Mix well. | Pour about 1 cup of the sauce on bottom of 9x13 pan. | Arrange 3 uncooked lasagna noodles over sauce; cover with about 1 cup sauce. | Spread 1/2 the cheese filling over sauce. | Repeat layers of lasagna, sauce and cheese filling. | Top with layer of lasagna and remaining sauce; sprinkle with remaining 1 cup mozzarella cheese. | Cover with foil and bake at 350 for 45 minutes. | Remove foil; bake an additional 15 minutes. | Let stand 10 minutes before cutting.",28,"4,8",27,time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | eggs-dairy | pasta | pork | oven | european | dinner-party | kid-friendly | italian | lasagna | cheese | dietary | comfort-food | oamc-freezer-make-ahead | meat | pork-sausage | pasta-rice-and-grains | taste-mood | equipment | number-of-servings | presentation | served-hot | 4-hours-or-less
139406,Old World Italian Spaghetti Sauce,"This is a great old world Family recipe.
Its also great with italian sausage,or meatballs. Just stir often while cooking when using meats.",https://www.food.com/recipe/old-world-italian-spaghetti-sauce-139406,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/13/94/06/picmNFWKi.jpg","tomato paste | tomato puree | crushed tomatoes | garlic cloves, crushed | onion, chopped | extra virgin olive oil | white sugar | salt | black pepper | dried basil | dried oregano | dried thyme leaves | dried rosemary leaves | parmesan cheese | dry red wine | water","In a large stockpot on low-med heat add your olive oil and saute your onions for about 4 minutes,then add your crushed garlic,cook for 2 minutes longer. Then add your water,and tomato products. Be sure to mix everything very well.Add in your spices,and cheese. cook for 2 1/2 hours covered.Then add in your wine, and cook 30 minutes longer. Sauce will be thin on first day.Also if you use meat it will alter thickness.The second day this turns into a nice thick sauce.",28,"4,61",29,time-to-make | course | main-ingredient | cuisine | preparation | occasion | low-protein | healthy | sauces | condiments-etc | vegetables | easy | european | dinner-party | holiday-event | low-fat | vegetarian | italian | dietary | low-cholesterol | low-saturated-fat | low-calorie | low-carb | healthy-2 | low-in-something | tomatoes | number-of-servings | 3-steps-or-less | 4-hours-or-less
53845,Crispy Parmesan Crusted Chicken,"Originally from Cuisine magazine, here is a wonderful way to prepare otherwise boring boneless, skinless chicken breasts. The crust on this chicken is delicious and the sage-butter sauce is divine! Excellent served with roasted new potatoes. Don't be intimidated by the number of ingredients or steps - it truly is simple to prepare. Prep time includes ""resting"" time for the crust.",https://www.food.com/recipe/parmesan-crusted-chicken-53845,"https://img.sndimg.com/food/image/upload/f_auto,c_thumb,q_55,w_744,ar_5:4/v1/img/recipes/53/84/5/picSVN12y.jpg","boneless skinless chicken breast halves | whites | cornstarch | lemon, juice of (half for chicken, half in sauce) | coarse dry breadcrumbs (preferably homemade using rustic-type bread) | chopped fresh parsley | kosher salt | ground pepper | parmesan cheese, grated | lemon, zest of, minced | olive oil | shallots, minced | dry white wine | heavy cream | low sodium chicken broth (or regular) | cold unsalted butter, cubed (divided use) | fresh sage, minced | salt | white pepper | cayenne","For the chicken: Lightly pound chicken breasts to an even 1/2 inch thickness. | Blend egg whites, cornstarch, and half lemon juice with a fork in a wide, shallow dish. | Set aside. | Combine bread crumbs, parmesan cheese, parsley, salt, pepper, and zest in a second wide, shallow bowl. | Individually dip chicken brests first in egg mixture, then in crumbs. | Pat crumbs on both sides of chicken- it's ok if some crumbs fall off. | Set crusted breasts on a wire rack for 20 to 30 minutes to set crust. | After 20 to 30 minutes, saute chicken in oil in a large, nonstick, ovenproof skillet over medium-high heat for about 3 minutes, or until golden brown and crisp. | Carefully turn with a spatula and transfer skillet to a 450 degree oven to finish cooking. | Roast chicken until done, about 8 more minutes. | While chicken is roasting, prepare sauce. | For the sauce: Saute shallot in 1 T butter in a small saucepan over medium heat just until soft, 2 to 3 minutes. | Add wine, cream, broth, and remaining lemon juice. | Simmer until reduced by half, 8-10 minutes. | Whisk in remaining butter, one tablespoon at a time, stirring constantly. | Add sage and seasonings. | Place roasted chicken on a plate and top with sauce.",28,"4,92",27,60-minutes-or-less | time-to-make | course | main-ingredient | cuisine | preparation | occasion | main-dish | poultry | oven | european | dinner-party | romantic | italian | chicken | dietary | low-carb | low-in-something | meat | taste-mood | equipment
