user_id,category,questions,score
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Sensory Appeal,i choose foods for their taste,4
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Familiarity,i choose foods that are familiartraditional,Not very important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Price,i choose foods based on price,Not very important
generated-c9d8ec94-49ee-4bbb-b9a4-919c83d0c4e7,Mood,i choose foods that improve my mood,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Health,i choose foods because they keep me healthy,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Weight Control,i choose foods that help me control my weight,1
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Convenience,i choose foods that are convenient to prepare,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Sensory Appeal,i choose foods for their taste,3
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Natural Content,i choose foods for ecologicalsustainability reasons,2
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Familiarity,i choose foods that are familiartraditional,2
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Price,i choose foods based on price,4
generated-5b5210ba-4501-4bc2-9607-351aeb517996,Mood,i choose foods that improve my mood,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Health,i choose foods because they keep me healthy,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Weight Control,i choose foods that help me control my weight,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Convenience,i choose foods that are convenient to prepare,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Sensory Appeal,i choose foods for their taste,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Familiarity,i choose foods that are familiartraditional,Not very important
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Price,i choose foods based on price,3
generated-2ef56b05-8e82-43ff-a67a-38c24f080f3e,Mood,i choose foods that improve my mood,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Health,i choose foods because they keep me healthy,3
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Weight Control,i choose foods that help me control my weight,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Convenience,i choose foods that are convenient to prepare,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Sensory Appeal,i choose foods for their taste,4
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Natural Content,i choose foods for ecologicalsustainability reasons,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Familiarity,i choose foods that are familiartraditional,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Price,i choose foods based on price,Not very important
generated-411a4d8d-bc5a-469c-b9e2-1db46a4420a9,Mood,i choose foods that improve my mood,4
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Health,i choose foods because they keep me healthy,Not very important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Weight Control,i choose foods that help me control my weight,Not very important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Convenience,i choose foods that are convenient to prepare,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Sensory Appeal,i choose foods for their taste,4
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Familiarity,i choose foods that are familiartraditional,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Price,i choose foods based on price,3
generated-b4da3b1b-89a0-45e0-84a7-4af95d5a980d,Mood,i choose foods that improve my mood,4
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Health,i choose foods because they keep me healthy,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Weight Control,i choose foods that help me control my weight,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Convenience,i choose foods that are convenient to prepare,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Sensory Appeal,i choose foods for their taste,3
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Natural Content,i choose foods for ecologicalsustainability reasons,Not at all important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Ethical Concern,i choose foods for ethical or religious reasons,Not at all important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Familiarity,i choose foods that are familiartraditional,Not very important
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Price,i choose foods based on price,4
generated-9404b5a0-4e13-4142-be9c-8057a99e5077,Mood,i choose foods that improve my mood,Not very important
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Health,i choose foods because they keep me healthy,3
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Weight Control,i choose foods that help me control my weight,3
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Convenience,i choose foods that are convenient to prepare,4
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Sensory Appeal,i choose foods for their taste,3
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Natural Content,i choose foods for ecologicalsustainability reasons,3
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Ethical Concern,i choose foods for ethical or religious reasons,1
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Familiarity,i choose foods that are familiartraditional,1
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Price,i choose foods based on price,2
generated-a23fb748-c96e-41ef-b263-5ff0f0962edd,Mood,i choose foods that improve my mood,2
60721c2da01b3a616edba9a7,Health,i choose foods because they keep me healthy,3
60721c2da01b3a616edba9a7,Weight Control,i choose foods that help me control my weight,2
60721c2da01b3a616edba9a7,Convenience,i choose foods that are convenient to prepare,3
60721c2da01b3a616edba9a7,Sensory Appeal,i choose foods for their taste,4
60721c2da01b3a616edba9a7,Natural Content,i choose foods for ecologicalsustainability reasons,1
60721c2da01b3a616edba9a7,Ethical Concern,i choose foods for ethical or religious reasons,1
60721c2da01b3a616edba9a7,Familiarity,i choose foods that are familiartraditional,3
60721c2da01b3a616edba9a7,Price,i choose foods based on price,4
60721c2da01b3a616edba9a7,Mood,i choose foods that improve my mood,2
64a3e3a7b17af2ccd6336581,Health,i choose foods because they keep me healthy,3
64a3e3a7b17af2ccd6336581,Weight Control,i choose foods that help me control my weight,2
64a3e3a7b17af2ccd6336581,Convenience,i choose foods that are convenient to prepare,3
64a3e3a7b17af2ccd6336581,Sensory Appeal,i choose foods for their taste,4
64a3e3a7b17af2ccd6336581,Natural Content,i choose foods for ecologicalsustainability reasons,2
64a3e3a7b17af2ccd6336581,Ethical Concern,i choose foods for ethical or religious reasons,1
64a3e3a7b17af2ccd6336581,Familiarity,i choose foods that are familiartraditional,1
64a3e3a7b17af2ccd6336581,Price,i choose foods based on price,2
64a3e3a7b17af2ccd6336581,Mood,i choose foods that improve my mood,2
611d4891122d6413d83ffb29,Health,i choose foods because they keep me healthy,3
611d4891122d6413d83ffb29,Weight Control,i choose foods that help me control my weight,3
611d4891122d6413d83ffb29,Convenience,i choose foods that are convenient to prepare,3
611d4891122d6413d83ffb29,Sensory Appeal,i choose foods for their taste,4
611d4891122d6413d83ffb29,Natural Content,i choose foods for ecologicalsustainability reasons,2
611d4891122d6413d83ffb29,Ethical Concern,i choose foods for ethical or religious reasons,1
611d4891122d6413d83ffb29,Familiarity,i choose foods that are familiartraditional,3
611d4891122d6413d83ffb29,Price,i choose foods based on price,3
611d4891122d6413d83ffb29,Mood,i choose foods that improve my mood,3
67607e34fb2abbf20ec24851,Health,i choose foods because they keep me healthy,3
67607e34fb2abbf20ec24851,Weight Control,i choose foods that help me control my weight,2
67607e34fb2abbf20ec24851,Convenience,i choose foods that are convenient to prepare,3
67607e34fb2abbf20ec24851,Sensory Appeal,i choose foods for their taste,4
67607e34fb2abbf20ec24851,Natural Content,i choose foods for ecologicalsustainability reasons,2
67607e34fb2abbf20ec24851,Ethical Concern,i choose foods for ethical or religious reasons,1
67607e34fb2abbf20ec24851,Familiarity,i choose foods that are familiartraditional,2
67607e34fb2abbf20ec24851,Price,i choose foods based on price,2
67607e34fb2abbf20ec24851,Mood,i choose foods that improve my mood,3
6176b584db27cdcecc3896c8,Health,i choose foods because they keep me healthy,4
6176b584db27cdcecc3896c8,Weight Control,i choose foods that help me control my weight,2
6176b584db27cdcecc3896c8,Convenience,i choose foods that are convenient to prepare,3
6176b584db27cdcecc3896c8,Sensory Appeal,i choose foods for their taste,2
6176b584db27cdcecc3896c8,Natural Content,i choose foods for ecologicalsustainability reasons,1
6176b584db27cdcecc3896c8,Ethical Concern,i choose foods for ethical or religious reasons,1
6176b584db27cdcecc3896c8,Familiarity,i choose foods that are familiartraditional,1
6176b584db27cdcecc3896c8,Price,i choose foods based on price,3
6176b584db27cdcecc3896c8,Mood,i choose foods that improve my mood,2
668d47c713ff36650d859118,Health,i choose foods because they keep me healthy,2
668d47c713ff36650d859118,Weight Control,i choose foods that help me control my weight,2
668d47c713ff36650d859118,Convenience,i choose foods that are convenient to prepare,3
668d47c713ff36650d859118,Sensory Appeal,i choose foods for their taste,4
668d47c713ff36650d859118,Natural Content,i choose foods for ecologicalsustainability reasons,2
668d47c713ff36650d859118,Ethical Concern,i choose foods for ethical or religious reasons,1
668d47c713ff36650d859118,Familiarity,i choose foods that are familiartraditional,2
668d47c713ff36650d859118,Price,i choose foods based on price,4
668d47c713ff36650d859118,Mood,i choose foods that improve my mood,2
68d7908b9d6b3e5520ccb109,Health,i choose foods because they keep me healthy,3
68d7908b9d6b3e5520ccb109,Weight Control,i choose foods that help me control my weight,2
68d7908b9d6b3e5520ccb109,Convenience,i choose foods that are convenient to prepare,2
68d7908b9d6b3e5520ccb109,Sensory Appeal,i choose foods for their taste,4
68d7908b9d6b3e5520ccb109,Natural Content,i choose foods for ecologicalsustainability reasons,3
68d7908b9d6b3e5520ccb109,Ethical Concern,i choose foods for ethical or religious reasons,2
68d7908b9d6b3e5520ccb109,Familiarity,i choose foods that are familiartraditional,3
68d7908b9d6b3e5520ccb109,Price,i choose foods based on price,3
68d7908b9d6b3e5520ccb109,Mood,i choose foods that improve my mood,2
5e8c13d8f743d210d47ec874,Health,i choose foods because they keep me healthy,3
5e8c13d8f743d210d47ec874,Weight Control,i choose foods that help me control my weight,3
5e8c13d8f743d210d47ec874,Convenience,i choose foods that are convenient to prepare,3
5e8c13d8f743d210d47ec874,Sensory Appeal,i choose foods for their taste,4
5e8c13d8f743d210d47ec874,Natural Content,i choose foods for ecologicalsustainability reasons,2
5e8c13d8f743d210d47ec874,Ethical Concern,i choose foods for ethical or religious reasons,2
